title,content_url,p_date,read_num,like_num,comment_num,reward_num,author,c_date,u_date,source_url
为什么我推荐你学习数据分析,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367809&idx=1&sn=ad211dde94dd06b1282a5df48afb1da6&chksm=be9cdc1589eb5503890840bad00f6be0d86325bdcca0880c83107db7ce17fbec9cb2719d28fa&scene=27#wechat_redirect,2018-01-15T19:59:14.000Z,3549,22,0,0,刘志军,2018-01-17T17:59:46.971Z,2018-01-17T18:10:51.270Z,
推荐几个公众号（文末彩蛋）,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367799&idx=1&sn=afd47703d8bfd41f547c3916a25a4922&chksm=be9cdc6389eb5575f75e424c2351969e3d6b066cb1d60466d4865381f8de5d41867ca2a526b1&scene=27#wechat_redirect,2018-01-12T12:13:55.000Z,4866,37,0,0,刘志军,2018-01-17T17:59:47.587Z,2018-01-17T18:10:52.477Z,
普通程序员的逆袭：如何学习数据挖掘与人工智能,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367790&idx=1&sn=4381bcfa32be5b15ab0a8fe0ba563288&chksm=be9cdc7a89eb556c70274da6e26b09336411f2932ac077b0c62662768814199b6d26444d3145&scene=27#wechat_redirect,2018-01-11T21:06:24.000Z,3582,14,0,0,万门大学,2018-01-17T17:59:47.591Z,2018-01-17T18:10:53.668Z,
这10个题，有 68% 的人答不对,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367777&idx=1&sn=e050a88ee55155e1a4ba310c070a84e3&chksm=be9cdc7589eb55634442240db79a3c96e8fca9e3359e3b4715dc43fc899809726713b752adc7&scene=27#wechat_redirect,2018-01-10T07:31:18.000Z,3643,49,0,1,刘志军,2018-01-17T17:59:47.593Z,2018-01-17T18:03:39.592Z,
Python知识冲顶大会,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367768&idx=1&sn=18b9b3e36be8f7c0476e5bb9a699454c&chksm=be9cdc4c89eb555a975609bb246fbb006a7625ccbae6d3065bf0639d595fc43745d2a22eadb9&scene=27#wechat_redirect,2018-01-08T08:00:00.000Z,5308,30,0,0,刘志军,2018-01-17T17:59:47.596Z,2018-01-17T18:10:54.908Z,
最新技能 get：用 AI 玩微信跳一跳，自动刷分可破 10000 分,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367751&idx=1&sn=461393c2cbd1d357bcb7cc5103ac2cd0&chksm=be9cdc5389eb55458d7733bfa787baa40996316625e610bfc86f84d4600077614895550523de&scene=27#wechat_redirect,2018-01-05T16:30:00.000Z,8078,75,0,0,安捷,2018-01-17T17:59:47.599Z,2018-01-17T18:03:41.964Z,https://github.com/Prinsphield/Wechat_AutoJump
基于Python实现微信公众号爬虫进行数据分析,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367737&idx=1&sn=b96e294cba82e789337383b94ee6ee40&chksm=be9cddad89eb54bb3963d3945ce23a5a0c954f9ed487b4dca426f0393c7022fef7e37b48f145&scene=27#wechat_redirect,2018-01-04T08:00:00.000Z,4270,53,0,0,刘志军,2018-01-17T17:59:47.601Z,2018-01-17T18:03:43.169Z,https://juejin.im/book/5a157c155188254a701eb3c1
2017年，感谢你们，2018年，我们继续努力前行,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367727&idx=1&sn=08ce54f6f36873e74c638421012bb495&chksm=be9cddbb89eb54ad436af5c27c0d0db06da7e3aec613a33dd99f935d684a77b555241207f1ba&scene=27#wechat_redirect,2018-01-01T16:44:53.000Z,1562,42,0,2,刘志军,2018-01-17T17:59:47.603Z,2018-01-17T18:03:44.398Z,
2018许愿墙,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367727&idx=2&sn=8e182425ff20fdb899a0b934e588d359&chksm=be9cddbb89eb54adf893738e517a68d8dffa5c8d41d6bee0f8388a858c890685b53d35193dc9&scene=27#wechat_redirect,2018-01-01T16:44:53.000Z,792,4,0,0,刘志军,2018-01-17T17:59:47.605Z,2018-01-17T18:03:45.605Z,
2018 年，学点人工智能（赠书8本）,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367720&idx=1&sn=87e32a97392f320c17960c31f1035182&chksm=be9cddbc89eb54aa0277dd7e79acbb7fc44319156b0ec59ff9e9b30ffdac18489b10b663c7c2&scene=27#wechat_redirect,2017-12-29T08:00:00.000Z,6353,137,0,45,刘志军,2018-01-17T17:59:47.608Z,2018-01-17T18:03:46.942Z,
5个酷毙的Python工具,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367705&idx=1&sn=383a333fa155cfd08cbc1c09df5f14d2&chksm=be9cdd8d89eb549bdd747adab7d9934c7135d914e3f39ab4874deec556b416a369a36cb13a8f&scene=27#wechat_redirect,2017-12-27T08:00:00.000Z,8443,39,0,0,刘志军,2018-01-17T17:59:49.965Z,2018-01-17T18:03:48.147Z,
Python语言的2017年终总结,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367689&idx=1&sn=fa6fc5c58456cbd4e60001582ae28a78&chksm=be9cdd9d89eb548bc2eeb14108131dce3c8572b66a26a9684e35af4ba4e2c152ab1733af6fbd&scene=27#wechat_redirect,2017-12-25T08:24:12.000Z,7446,56,0,1,刘志军,2018-01-17T17:59:49.966Z,2018-01-17T18:03:49.372Z,
关于正则表达式的5个小贴士,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367680&idx=1&sn=2e8ef8bcf4dc176c46376508cb5a8fa7&chksm=be9cdd9489eb54822dc5993ff71050ca9011aff07fdf642b3eccdee7e20dc2efad9f21fb1a63&scene=27#wechat_redirect,2017-12-22T08:02:56.000Z,3561,27,0,3,刘志军,2018-01-17T17:59:49.967Z,2018-01-17T18:03:50.605Z,http://t.cn/RTEptSV
微软考虑将 Python 作为 Excel 官方脚本语言,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367667&idx=1&sn=324d6f7797e9dfc4ba88215b1de0bdde&chksm=be9cdde789eb54f1fba3da5d203574788c4cdc4db54c4c0fcf32d7adf23691396dc0f117cfd9&scene=27#wechat_redirect,2017-12-17T16:57:23.000Z,8628,66,0,0,刘志军,2018-01-17T17:59:49.968Z,2018-01-17T18:03:51.791Z,https://excel.uservoice.com/forums/304921-excel-for-windows-desktop-application/suggestions/10549005-python-as-an-excel-scripting-language
零基础如何自学Python,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367659&idx=1&sn=e262863c146a95e2215163737c6e4926&chksm=be9cddff89eb54e92698122fe334b18581321512a126fd1e6ff304c1968bed12ffb1267fd570&scene=27#wechat_redirect,2017-12-15T07:50:00.000Z,6811,124,0,6,刘志军,2018-01-17T17:59:49.969Z,2018-01-17T18:03:53.049Z,
在微信看优质内容，还可以关注这 10 个公众号,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367659&idx=2&sn=be5f19fb68fdcad97d4bfa4f27e718ca&chksm=be9cddff89eb54e9617aefa0a95952d16dc43053936eadbd89a459acbbc7988c6dc03e28747b&scene=27#wechat_redirect,2017-12-15T07:50:00.000Z,1661,16,0,0,爱你们的,2018-01-17T17:59:49.970Z,2018-01-17T18:03:54.250Z,
46岁编程女侠，4个月搞定深度学习，她的经历可以复制吗？,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367644&idx=1&sn=9951edf4e9bfebcdaa7dd66a639befea&chksm=be9cddc889eb54de36a00865dcd15f9cf906d1868430dd62f1fe550b55e713b333344811e717&scene=27#wechat_redirect,2017-12-13T08:09:08.000Z,4233,12,0,0,优达学城,2018-01-17T17:59:49.970Z,2018-01-17T18:03:55.467Z,https://cn.udacity.com/course/deep-learning-nanodegree-foundation--nd101-cn/?utm_source=VTtalk&utm_medium=wechat&utm_campaign=DLND09
“网红”  Python，\b疯狂打 call,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367634&idx=1&sn=ec23c954f7adad842d706c2ec687a35e&chksm=be9cddc689eb54d07cd27f260f8ce7bf48d5702dc59a7f9b32725a7fd02d8b4a34f58382e4f5&scene=27#wechat_redirect,2017-12-12T07:44:57.000Z,6024,25,0,1,刘志军,2018-01-17T17:59:49.971Z,2018-01-17T18:03:56.698Z,
用 Python 处理 HTML 转义字符的5种方式,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367619&idx=1&sn=0ce381e43cbbe4b0646d0214e461ce16&chksm=be9cddd789eb54c1838716d0a00fee71c2d1b1f42b09603af937ee9b274adf50b652bc88720f&scene=27#wechat_redirect,2017-12-11T08:10:29.000Z,2297,27,0,1,刘志军,2018-01-17T17:59:49.972Z,2018-01-17T18:03:57.936Z,
MySQL书单推荐+赠书 5 本,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367605&idx=1&sn=1d8d50d40c5c972b5247e82116b0b97b&chksm=be9cdd2189eb543761cd981325d15acd9871a7a76002ba3ab32d09d5beaf3b5dcbb5cb3cca8c&scene=27#wechat_redirect,2017-12-07T19:08:25.000Z,3741,103,0,6,福利不断的,2018-01-17T17:59:49.973Z,2018-01-17T18:03:59.189Z,
千万不要在程序员群问代码……,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367605&idx=2&sn=f205afd10e7e525847720a6741f27141&chksm=be9cdd2189eb543755f1248efaed0ec02220a779e3759e9bbe66e5499e412f65dcb3ef469fec&scene=27#wechat_redirect,2017-12-07T19:08:25.000Z,3782,37,0,0,西乔,2018-01-17T17:59:49.974Z,2018-01-17T18:04:00.397Z,
数据分析，化解2017年焦虑的最后一课,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367583&idx=1&sn=5b318064a30c6d0f673c1e4aa485f342&chksm=be9cdd0b89eb541d4c095e617c2e2a309884f16090614ed16d5580f5f7b486f45d1e8897f445&scene=27#wechat_redirect,2017-12-06T08:03:18.000Z,2098,13,0,0,DC学院,2018-01-17T17:59:52.175Z,2018-01-17T18:04:01.584Z,https://kdt.im/eextSh
用 Python 连接 MySQL 的几种姿势,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367582&idx=1&sn=797a2ecac2e9bbb895eef1719d8d852d&chksm=be9cdd0a89eb541c3af1629bf964f1f89c932ce1dc1fcb01cb9d07d0ff60248dd80a5b884fd4&scene=27#wechat_redirect,2017-12-05T11:42:30.000Z,4059,70,0,0,刘志军,2018-01-17T17:59:52.179Z,2018-01-17T18:04:02.809Z,
有人对他说：如果连 Python 都学不会，你就不要学编程了,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367573&idx=1&sn=1ca82e926d5a5fed623cdd9fb1946aed&chksm=be9cdd0189eb5417842e4df4965b5c9af33ae5ccc650a184a73d4c02a42fe9a594959e17fd85&scene=27#wechat_redirect,2017-12-03T20:02:53.000Z,3345,17,0,0,侯爵,2018-01-17T17:59:52.182Z,2018-01-17T18:04:04.001Z,http://mooc.study.163.com/smartSpec/detail/1001180001.htm?utm_source=weixin.qq.com&utm_medium=weixinkol&utm_content=pythonzc&utm_campaign=smartspec_jinyun
​11月赠书福利中奖结果出炉,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367566&idx=1&sn=692295d1c53bd4054adf34c71b1073f7&chksm=be9cdd1a89eb540c383985ed857b6e56394e44d3f6dd304bbc1f77647f050de911f608904f88&scene=27#wechat_redirect,2017-12-02T09:19:59.000Z,2278,31,0,2,刘志军,2018-01-17T17:59:52.186Z,2018-01-17T18:04:05.229Z,
零基础如何用3个月入门Python机器学习,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367558&idx=1&sn=b8be74571b14f78d80c062ded89b2d4a&chksm=be9cdd1289eb5404f1b423a135ce5adf5d2cf802a09014b6f407c96b40fdc88ce6e4e0ed8665&scene=27#wechat_redirect,2017-11-30T08:00:00.000Z,4167,68,0,0,2252377210,2018-01-17T17:59:52.189Z,2018-01-17T18:04:06.427Z,
小白科普：Python代码是编译执行还是解释执行？,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367554&idx=1&sn=afd53359d43c3851d2cf461f03634abd&chksm=be9cdd1689eb5400bde3b112da4ac8c3df7d5fb96d67a07697c6c761bd2c0205f4f00247d939&scene=27#wechat_redirect,2017-11-29T07:30:00.000Z,2802,43,0,1,刘志军,2018-01-17T17:59:52.192Z,2018-01-17T18:04:07.640Z,
11月赠书，总共10本，附Python书单,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367553&idx=1&sn=9b8cb62d298db023b8a87da22e352b06&chksm=be9cdd1589eb54031db61cd4047c0effbc4a02db346a98d5410539ed48bede063c98fb8a1fe3&scene=27#wechat_redirect,2017-11-28T08:00:00.000Z,6485,190,0,16,刘志军&图灵教育,2018-01-17T17:59:52.195Z,2018-01-17T18:04:08.965Z,https://github.com/pythonzhichan/DailyQuestion
你的工资基础决定你的前途,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367551&idx=1&sn=b76c0addad98f01d76911bcab536c39b&chksm=be9cdd6b89eb547d88c48535c4aab6864b5a18c926af0aec47cc458787f318a0b9a2ff377515&scene=27#wechat_redirect,2017-11-27T08:06:54.000Z,4640,22,0,0,潭州教育,2018-01-17T17:59:52.198Z,2018-01-17T18:04:10.159Z,
Python奇技淫巧，看看你知道几个,http://mp.weixin.qq.com/s?__biz=MjM5MzgyODQxMQ==&mid=2650367540&idx=1&sn=ef9c6353a9255dbc00e2beac7f449dad&chksm=be9cdd6089eb5476e5d96e7fb9bd50869a1ccd88c70cee998a7dd18050751ceb880e62449cda&scene=27#wechat_redirect,2017-11-23T12:13:30.000Z,5256,47,0,3,刘志军,2018-01-17T17:59:52.201Z,2018-01-17T18:04:11.397Z,
